品牌 能效等级 是否支持IPV6 处理器 显卡 类型 
hp 一级能耗 支持IPV6 麒麟 MX230 轻薄本 
hp 二级能耗 不支持IPV6 AMD速龙 游戏本 RTX3070Ti 
ThinkPad 五级能耗 不支持IPV6 inteli5 轻薄本 RTX3080Ti 
HUAWEI 二级能耗 支持IPV6 inteli5 全能本 MX230 
Lenovo 五级能耗 支持IPV6 AMD速龙 MX230 游戏本 
Lenovo 一级能耗 不支持IPV6 麒麟 全能本 RTX3070Ti 
DELL 一级能耗 支持IPV6 inteli5 游戏本 RTX3080Ti 
APPLE 一级能耗 支持IPV6 AMD速龙 RTX3070Ti 轻薄本 
ThinkPad 二级能耗 支持IPV6 麒麟 游戏本 RTX3080Ti 
HUAWEI 五级能耗 不支持IPV6 麒麟 RTX3070Ti 轻薄本 
DELL 二级能耗 不支持IPV6 麒麟 轻薄本 MX230 
APPLE 二级能耗 不支持IPV6 麒麟 游戏本 MX230 
hp 五级能耗 支持IPV6 AMD速龙 全能本 RTX3080Ti 
ThinkPad 一级能耗 支持IPV6 AMD速龙 MX230 全能本 
HUAWEI 一级能耗 支持IPV6 AMD速龙 游戏本 RTX3080Ti 
Lenovo 二级能耗 支持IPV6 inteli5 轻薄本 RTX3070Ti 
DELL 五级能耗 支持IPV6 AMD速龙 RTX3070Ti 全能本 
APPLE 五级能耗 支持IPV6 inteli5 全能本 RTX3080Ti 
hp 一级能耗 支持IPV6 inteli5 MX230 轻薄本 
ThinkPad 一级能耗 支持IPV6 麒麟 轻薄本 RTX3070Ti 
Lenovo 一级能耗 支持IPV6 麒麟 RTX3080Ti 轻薄本 
